ID,Organism,Strain,Molecule product,DB xref,location
MZ173451.1,Canine coronavirus,CCoV/CD0605,N/A,taxon:11153,China
MT906864.1,Canine coronavirus,2020/15,N/A,taxon:11153,United Kingdom
KP281577.1,Canine coronavirus,CCoV/vaccine/passage9/clone106,N/A,taxon:11153,N/A
OK500254.1,Canine coronavirus,N/A,N/A,taxon:11153,China
OM055788.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP322041.1,Canine coronavirus,CCoV-I/dog75,N/A,taxon:11153,Brazil
KF312721.1,Canine coronavirus,915-I,N/A,taxon:11153,Brazil
KP281555.1,Canine coronavirus,CCoV/vaccine/passage7/clone83,N/A,taxon:11153,N/A
GQ148754.1,Canine coronavirus,365/05,N/A,taxon:11153,Italy
MT294700.1,Canine coronavirus,N/A,N/A,taxon:11153,Turkey
EU856362.1,Canine coronavirus,174/06,N/A,taxon:11153,Italy
GU324419.1,Canine coronavirus,PH4/09/Ire/CCoV1,N/A,taxon:11153,Ireland
JX035846.1,Canine coronavirus,N/A,N/A,taxon:11153,United Kingdom
KP281494.1,Canine coronavirus,CCoV/vaccine/passage1/clone10,N/A,taxon:11153,N/A
EF408005.1,Canine coronavirus,C11-48-II,N/A,taxon:11153,N/A
MW147006.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
GQ130263.1,Canine coronavirus,363/05,N/A,taxon:11153,Hungary
KP281575.1,Canine coronavirus,CCoV/vaccine/passage8/clone103,N/A,taxon:11153,N/A
A22886.1,Canine coronavirus,CCV-V54,N/A,taxon:11153,N/A
GQ130268.1,Canine coronavirus,120/06,N/A,taxon:11153,Romania
EF408006.1,Canine coronavirus,C17-46,N/A,taxon:11153,N/A
OQ623702.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP281489.1,Canine coronavirus,CCoV/vaccine/passage1/clone5,N/A,taxon:11153,N/A
KP281553.1,Canine coronavirus,CCoV/vaccine/passage7/clone81,N/A,taxon:11153,N/A
PQ177896.1,Canine coronavirus,N/A,N/A,taxon:11153,Hungary
KR105602.1,Canine coronavirus,N/A,N/A,taxon:11153,Brazil
JX983596.1,Canine coronavirus,N/A,N/A,taxon:11153,Brazil
OQ565722.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
MF536801.1,Canine coronavirus,N/A,N/A,taxon:11153,China
HQ450377.1,Canine coronavirus,68/09,N/A,taxon:11153,Greece
MT294708.1,Canine coronavirus,N/A,N/A,taxon:11153,Turkey
EU924790.1,Canine coronavirus,430/07,N/A,taxon:11153,Italy
OK340208.1,Canine coronavirus,SWU-SSX5/2021/CCoVIIa,N/A,taxon:11153,China
HQ339893.1,Canine coronavirus,62/07,N/A,taxon:11153,Tanzania
