ID,Organism,Strain,Molecule product,DB xref,location
LC829607.1,Bovine coronavirus,N/A,N/A,taxon:11128,Japan: Chiba
PV259901.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
MN982172.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
JQ741953.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA
OQ821705.1,Bovine coronavirus,N/A,N/A,taxon:11128,Turkey
AB450828.1,Bovine coronavirus,Hokkaido/25/05,N/A,taxon:11128,Japan
AB277131.1,Bovine coronavirus,Tochigi/4/02,N/A,taxon:11128,Japan
HM573328.1,Bovine coronavirus,Himalayan Tahr2 10/01,N/A,taxon:11128,South Korea
EF424620.1,Bovine coronavirus R-AH187,R-AH187,N/A,taxon:422219,USA:Ohio
PP156977.1,Bovine coronavirus,N/A,N/A,taxon:11128,Albania
AB450847.1,Bovine coronavirus,Yamagata/11/07,N/A,taxon:11128,Japan
U06091.1,Bovine coronavirus,Quebec BCQ.9,N/A,taxon:11128,N/A
OQ831428.1,Bovine coronavirus,N/A,N/A,taxon:11128,Turkey
DQ811784.2,Bovine coronavirus DB2,DB2,N/A,taxon:398808,N/A
OP037422.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
EU814647.1,Bovine coronavirus,438/06-TN,N/A,taxon:11128,Italy
MK095183.1,Bovine coronavirus,BCOV-China/SWUN/LN5/2018,N/A,taxon:11128,China
ON142318.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
DQ389637.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
AY935638.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
AB450898.1,Bovine coronavirus,Shimane/20/06,N/A,taxon:11128,Japan
JN795141.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
AB277128.1,Bovine coronavirus,Ishikawa/9/04,N/A,taxon:11128,Japan
AB450915.1,Bovine coronavirus,Kagoshima/5/07,N/A,taxon:11128,Japan
HE616737.1,Bovine coronavirus,N/A,N/A,taxon:11128,N/A
LC504698.1,Bovine coronavirus,S14-Mie-2018,N/A,taxon:11128,Japan
OR612027.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
KF169927.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
AB277136.1,Bovine coronavirus,Tochigi/9/02,N/A,taxon:11128,Japan
MK046011.1,Bovine coronavirus,N/A,N/A,taxon:11128,Viet Nam
OP762517.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
OR464043.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
LC829604.1,Bovine coronavirus,N/A,N/A,taxon:11128,Japan: Chiba
MH203067.1,Bovine coronavirus,VP200,N/A,taxon:11128,Viet Nam
DQ121654.1,Bovine coronavirus,N/A,N/A,taxon:11128,Sweden
OR909662.1,Bovine coronavirus,KBR-1(P80),N/A,taxon:11128,South Korea
OR612025.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
KT381478.1,Bovine coronavirus,N/A,N/A,taxon:11128,Brazil
PV061390.1,Bovine coronavirus,N/A,N/A,taxon:11128,Ethiopia
MN650887.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
OL990398.1,Bovine coronavirus,N/A,N/A,taxon:11128,India
JQ741960.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA
AB450902.1,Bovine coronavirus,Kochi/1/04,N/A,taxon:11128,Japan
KM677172.1,Bovine coronavirus,N/A,N/A,taxon:11128,Croatia
OP866729.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
OP186325.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
ON792954.1,Bovine coronavirus,ABGEB0-110,N/A,taxon:11128,Ireland
MK989634.1,Bovine coronavirus,N/A,N/A,taxon:11128,Turkey
OR612026.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
D00662.1,Bovine coronavirus,Quebec,N/A,taxon:11128,N/A
LC504695.1,Bovine coronavirus,S11-Mie-2018,N/A,taxon:11128,Japan
LC504668.1,Bovine coronavirus,C11-Miyazaki-2016,N/A,taxon:11128,Japan
AB277126.1,Bovine coronavirus,Ishikawa/7/04,N/A,taxon:11128,Japan
HE616738.1,Bovine coronavirus,N/A,N/A,taxon:11128,N/A
OR464049.1,Bovine coronavirus,N/A,N/A,taxon:11128,South Korea
OP037386.1,Bovine coronavirus,N/A,N/A,taxon:11128,USA: Nebraska
PV335251.1,Bovine coronavirus,N/A,N/A,taxon:11128,China
AB450863.1,Bovine coronavirus,Ishikawa/16/06,N/A,taxon:11128,Japan
AB450912.1,Bovine coronavirus,Kagoshima/2/07,N/A,taxon:11128,Japan
LC494127.1,Bovine coronavirus,IWT-9,N/A,taxon:11128,Japan
OQ821706.1,Bovine coronavirus,N/A,N/A,taxon:11128,Turkey
OR909660.1,Bovine coronavirus,KBR-1(P60),N/A,taxon:11128,South Korea
MW711302.1,Bovine coronavirus,SWUN/NMG-9/2020,N/A,taxon:11128,China
