ID,Organism,Strain,Molecule product,DB xref,location
MZ388470.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Guangxi
OQ547740.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN173782.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
PV164737.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Zhejiang Jinhua
MK040452.1,Porcine deltacoronavirus,CH-XS-2018,N/A,taxon:1586324,China
KU051653.1,Porcine deltacoronavirus,PDCoV/Swine/Thailand/S5022/2015,N/A,taxon:1586324,Thailand
MN520208.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Jiangsu
PQ594379.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN058062.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Jiangsu
KX022604.1,Porcine deltacoronavirus,PDCoV/USA/Nebraska137/2015,N/A,taxon:1586324,USA: Nebraska
MN520192.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Zhejiang
MH118332.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Viet Nam
KJ584360.1,Porcine coronavirus HKU15,MN3092,N/A,taxon:1159905,USA: Minnesota
MK040453.1,Porcine deltacoronavirus,CH-HA1-2017,N/A,taxon:1586324,China
MK040455.1,Porcine deltacoronavirus,CH-HA3-2017,N/A,taxon:1586324,China
KU051648.1,Porcine deltacoronavirus,PDCoV/Swine/Thailand/S5015I/2015,N/A,taxon:1586324,Thailand
MK993519.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
OQ790128.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN058063.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Shandong
KP757892.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KU051643.1,Porcine deltacoronavirus,PDCoV/Swine/Thailand/S5013/2015,N/A,taxon:1586324,Thailand
KT021236.1,Porcine deltacoronavirus,CH/SXD2/2015,N/A,taxon:1586324,China
OR230676.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN942260.2,Porcine deltacoronavirus,HeN,N/A,taxon:1586324,China
MK370066.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MW627233.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,"China: Sichuan, Qionglai"
MN520196.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Shandong
PQ594371.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KJ620016.1,Porcine coronavirus HKU15,MI6148,N/A,taxon:1159905,USA: Michigan
KR265854.1,Porcine deltacoronavirus,USA/Minnesota454/2014,N/A,taxon:1586324,USA: Minnesota
MH118333.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Viet Nam
MF037204.1,Porcine deltacoronavirus,HB-BD,N/A,taxon:1586324,China
MW196362.1,Porcine deltacoronavirus,USA/IL/2014/026PDV_P11,N/A,taxon:1586324,USA: Illinois
